,DbCluster,Rating,Likes,Price
88,5,7.4,20,1.0
89,5,5.6,17,2.0
90,5,,0,1.0
91,5,,0,
92,5,,1,1.0
93,5,5.5,2,1.0
94,5,,1,1.0
95,1,8.8,21,1.0
96,1,8.9,91,1.0
97,1,7.8,7,1.0
98,1,8.6,9,1.0
99,1,9.1,279,1.0
100,1,7.0,6,1.0
101,1,7.1,64,1.0
102,1,6.8,8,1.0
103,1,6.6,27,1.0
104,1,6.7,0,1.0
105,1,6.8,7,1.0
106,1,5.9,4,1.0
107,1,,1,1.0
108,1,,2,1.0
109,1,6.0,3,1.0
110,1,,0,1.0
111,1,,1,1.0
112,1,,6,1.0
113,1,,1,1.0
114,1,,1,1.0
115,1,,1,1.0
116,1,,2,1.0
117,1,,1,1.0
118,5,7.9,43,1.0
119,5,6.5,0,1.0
120,5,,0,1.0
121,5,,1,1.0
122,7,8.5,132,2.0
123,7,8.4,42,1.0
124,7,7.7,23,2.0
125,7,7.2,0,1.0
126,7,7.3,39,2.0
127,7,6.7,9,1.0
128,7,,2,1.0
129,7,,0,1.0
130,7,,0,1.0
131,10,6.8,16,1.0
132,10,,2,1.0
133,10,,4,1.0
134,10,,0,1.0
135,11,7.1,36,2.0
136,11,7.0,31,1.0
137,10,,0,1.0
138,1,9.0,51,2.0
139,1,8.7,157,1.0
140,1,8.8,101,2.0
141,1,8.5,19,1.0
142,1,6.5,8,1.0
143,1,,2,1.0
144,1,,2,1.0
145,13,,0,1.0
146,1,7.1,1,1.0
147,1,,0,1.0
148,1,,2,1.0
149,8,,0,1.0
150,13,7.9,17,1.0
151,14,,0,1.0
152,14,,0,1.0
153,7,9.1,122,1.0
154,7,,0,1.0
155,7,,4,1.0
